dealer_busts,player_busts,player_loses,draw,player_wins
16,41,53,2,45
15,55,61,9,30
14,43,56,9,35
13,55,63,5,32
17,46,52,7,41
13,40,48,14,38
16,47,59,6,35
18,47,54,5,41
13,43,52,10,38
12,47,56,10,34
12,38,47,9,44
10,56,62,7,31
14,51,62,7,31
19,44,53,5,42
19,39,52,7,41
15,43,56,5,39
16,44,54,8,38
18,42,52,9,39
12,54,65,7,28
19,47,61,5,34
21,43,53,5,42
10,49,56,5,39
9,40,56,7,37
13,43,59,8,33
9,42,59,12,29
11,49,57,8,35
18,43,51,7,42
11,51,60,7,33
15,39,51,6,43
16,46,53,6,41
14,37,45,8,47
14,47,54,9,37
16,41,54,8,38
13,48,62,7,31
12,46,58,6,36
16,49,57,8,35
15,46,54,7,39
12,50,55,8,37
12,41,53,13,34
9,51,60,3,37
9,40,52,8,40
14,52,59,7,34
11,55,66,3,31
12,48,54,5,41
12,53,60,3,37
14,52,62,3,35
20,42,48,8,44
8,61,68,7,25
9,55,68,5,27
13,41,49,5,46
15,49,53,9,38
11,48,56,5,39
17,39,49,7,44
13,44,56,8,36
14,56,65,8,27
12,47,53,8,39
15,48,56,4,40
17,48,60,4,36
17,40,47,9,44
20,40,57,5,38
11,52,66,2,32
14,49,58,11,31
7,53,67,5,28
13,45,54,6,40
19,47,57,5,38
12,45,52,8,40
13,41,53,11,36
15,55,59,6,35
20,40,47,4,49
12,42,52,7,41
14,42,52,4,44
16,57,66,4,30
12,56,61,4,35
10,52,61,6,33
16,46,52,8,40
18,43,53,8,39
9,36,47,6,47
13,47,58,7,35
11,55,64,10,26
17,41,51,5,44
10,48,62,6,32
13,49,63,4,33
14,53,61,6,33
12,51,61,0,39
11,37,49,10,41
11,53,64,6,30
14,45,55,4,41
13,43,56,6,38
17,43,55,9,36
13,48,54,9,37
13,59,63,4,33
19,46,56,6,38
8,53,62,7,31
14,47,52,11,37
13,58,70,2,28
16,38,54,5,41
15,48,63,5,32
4,54,63,4,33
9,35,48,9,43
14,43,48,8,44
10,52,61,6,33
13,41,54,5,41
16,34,42,10,48
6,51,66,6,28
12,46,63,7,30
14,44,52,9,39
10,48,58,7,35
18,48,53,12,35
13,45,57,9,34
15,49,58,8,34
8,50,59,7,34
12,48,60,5,35
17,46,53,8,39
15,50,55,10,35
17,51,57,3,40
13,42,54,6,40
16,43,55,8,37
10,52,59,7,34
9,51,55,10,35
13,50,60,6,34
14,41,54,4,42
14,43,55,7,38
16,39,51,13,36
12,46,53,7,40
18,40,50,5,45
9,51,58,6,36
12,47,55,7,38
5,48,64,8,28
15,49,56,7,37
11,45,56,14,30
13,42,53,16,31
12,45,59,7,34
14,48,56,5,39
10,41,55,9,36
16,46,55,6,39
16,47,60,9,31
13,49,60,3,37
14,42,51,8,41
8,60,67,8,25
18,47,56,7,37
15,44,57,8,35
11,45,51,7,42
21,41,53,4,43
9,55,64,9,27
11,51,59,6,35
15,47,56,3,41
14,45,56,8,36
14,51,61,4,35
9,60,69,4,27
13,48,55,7,38
15,43,53,3,44
14,43,52,6,42
9,54,63,5,32
8,45,64,6,30
14,47,56,3,41
14,42,54,7,39
10,47,53,7,40
12,40,55,8,37
10,48,61,6,33
10,47,61,7,32
13,51,61,3,36
17,46,55,7,38
10,48,57,5,38
9,49,57,13,30
14,42,50,6,44
14,51,57,7,36
15,43,53,5,42
13,48,54,8,38
21,39,50,7,43
15,54,58,7,35
11,50,62,3,35
14,50,60,7,33
15,46,54,7,39
15,42,55,11,34
14,44,53,5,42
8,47,61,4,35
17,45,54,8,38
13,46,60,4,36
13,51,60,6,34
15,50,57,11,32
13,48,60,3,37
12,40,55,7,38
14,53,64,5,31
12,55,63,3,34
16,47,56,8,36
10,53,59,10,31
15,47,60,10,30
12,54,61,4,35
8,52,64,5,31
10,51,57,8,35
12,46,54,12,34
12,46,57,6,37
11,46,59,5,36
14,47,56,2,42
12,55,63,5,32
11,51,62,6,32
11,57,65,9,26
19,41,49,8,43
23,45,51,8,41
17,39,46,10,44
18,42,54,8,38
