num_decks,dealer_open,dealer_initial,dealer_hit,dealer_num_hits,dealer_final,dealer_busts,player_inital,player_hit,player_num_hits,player_final,player_busts,player_loses,draw,player_wins,strategy,dealer_hand,player_hand
4,1,14,0,0,14,0,16,1,1,23,1,1,0,0,0,"['A', 3]","[9, 7, 7]"
4,5,7,0,0,7,0,11,1,3,28,1,1,0,0,0,"[5, 2]","[7, 4, 5, 2, 10]"
4,9,16,0,0,16,0,17,1,2,22,1,1,0,0,0,"[9, 7]","[6, 'A', 'A', 4]"
4,6,11,0,0,11,0,14,1,1,23,1,1,0,0,0,"[6, 5]","[8, 6, 9]"
4,7,11,0,0,11,0,17,1,1,22,1,1,0,0,0,"[7, 4]","[7, 'J', 5]"
4,2,10,1,1,20,0,11,1,2,20,0,0,1,0,0,"[2, 8, 'K']","[8, 3, 5, 4]"
4,10,15,0,0,15,0,13,1,4,24,1,1,0,0,0,"['J', 5]","[2, 'A', 5, 5, 4, 7]"
4,2,12,1,1,22,1,9,1,1,20,0,0,0,1,0,"[2, 'K', 'K']","[7, 2, 'A']"
4,10,18,0,0,18,0,20,0,0,20,0,0,0,1,0,"['J', 8]","['K', 10]"
4,8,14,0,0,14,0,17,1,1,27,1,1,0,0,0,"[8, 6]","[7, 'Q', 'Q']"
4,1,12,1,3,21,0,17,1,1,20,0,1,0,0,0,"['A', 'A', 3, 10, 6]","['A', 6, 3]"
4,3,7,0,0,7,0,17,1,2,25,1,1,0,0,0,"[3, 4]","['J', 7, 'A', 7]"
4,6,16,0,0,16,0,17,1,2,26,1,1,0,0,0,"[6, 'Q']","[6, 'A', 10, 9]"
4,8,15,0,0,15,0,13,1,4,28,1,1,0,0,0,"[8, 7]","['A', 2, 'A', 'Q', 4, 10]"
4,2,4,1,2,17,0,16,1,1,20,0,0,0,1,0,"[2, 2, 'K', 3]","['A', 5, 4]"
4,10,17,0,0,17,0,20,0,0,20,0,0,0,1,0,"['K', 7]","['Q', 'J']"
4,3,8,0,0,8,0,6,1,2,26,1,1,0,0,0,"[3, 5]","[2, 4, 10, 10]"
4,10,20,0,0,20,0,18,1,1,23,1,1,0,0,0,"[10, 'J']","[10, 8, 5]"
4,10,20,0,0,20,0,15,1,3,28,1,1,0,0,0,"['K', 'Q']","[6, 9, 'A', 2, 'J']"
