dealer_busts,player_busts,player_loses,draw,player_wins
14,13,55,12,33
24,13,50,7,43
20,10,56,5,39
25,12,48,12,40
25,14,58,6,36
22,20,50,10,40
28,7,43,6,51
21,15,52,11,37
30,10,50,9,41
18,17,58,6,36
19,13,52,10,38
19,13,53,8,39
25,12,50,4,46
18,10,57,9,34
21,7,53,8,39
17,9,53,7,40
18,12,60,6,34
20,15,52,5,43
18,11,59,5,36
20,17,53,7,40
26,7,49,12,39
27,13,51,8,41
27,14,54,6,40
26,9,48,10,42
20,12,53,12,35
17,7,50,11,39
21,13,55,5,40
22,18,56,6,38
19,14,60,8,32
30,12,47,6,47
20,7,53,9,38
13,12,61,5,34
25,20,53,7,40
16,17,58,8,34
17,12,59,5,36
24,7,50,13,37
24,8,53,5,42
23,12,51,10,39
32,16,46,5,49
19,12,53,12,35
17,12,59,6,35
23,13,51,8,41
24,15,57,8,35
29,7,53,2,45
27,17,52,13,35
23,10,54,5,41
20,17,54,5,41
24,15,54,11,35
20,13,54,3,43
23,11,57,7,36
28,14,53,9,38
25,9,45,9,46
29,9,50,6,44
20,13,53,7,40
25,13,45,8,47
26,7,42,15,43
22,9,54,4,42
19,12,50,5,45
30,8,49,6,45
17,18,61,8,31
19,7,47,15,38
26,10,48,6,46
23,15,53,8,39
27,8,47,6,47
28,14,53,4,43
22,16,50,8,42
24,16,56,5,39
23,11,46,10,44
21,13,54,8,38
20,11,65,2,33
21,10,44,10,46
27,11,50,6,44
22,12,48,10,42
19,8,47,7,46
24,12,52,6,42
18,18,56,8,36
26,10,54,5,41
27,14,48,8,44
23,15,53,7,40
18,12,59,11,30
