d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks
"K,6","K,6,7","7,9","7,9",0,0,4
"K,Q","K,Q","7,10","7,10",0,0,4
"3,3","3,3,7,8","9,6","9,6,A,A",0,0,4
"K,3","K,3,6","Q,J","Q,J",1,0,4
"2,5","2,5","2,5","2,5,2,5,9",1,0,4
"8,A","8,A","5,6","5,6,4",1,0,4
"4,5","4,5","6,9","6,9,9",0,0,4
"J,6","J,6,J","5,2","5,2,2,5,5",0,0,4
"9,5","9,5,10","3,J","3,J",1,0,4
"K,K","K,K","A,10","A,10",0,0,4
"7,8","7,8,10","4,5","4,5,3",0,0,4
"2,7","2,7","K,A","K,A",0,0,4
"10,10","10,10","5,K","5,K",0,0,4
"9,9","9,9","2,9","2,9,6,4",0,0,4
"9,10","9,10","10,7","10,7",1,0,4
"Q,4","Q,4,7","Q,8","Q,8",1,0,4
"5,2","5,2","6,9","6,9,10",1,0,4
"K,A","K,A","J,A","J,A",0,0,4
"A,5","A,5,Q,8","K,9","K,9",1,0,4
"7,K","7,K","4,7","4,7,4",1,0,4
"8,A","8,A","J,7","J,7,2",0,0,4
"5,A","5,A","Q,3","Q,3,2,9",1,0,4
"4,3","4,3,J","10,Q","10,Q",0,0,4
"Q,A","Q,A","K,6","K,6",1,0,4
"8,J","8,J","2,K","2,K",1,0,4
"Q,5","Q,5,J","7,8","7,8",0,0,4
"7,10","7,10","3,7","3,7,A",0,0,4
"8,3","8,3,10","5,8","5,8",1,0,4
"5,A","5,A","4,3","4,3,6,10",1,0,4
"7,9","7,9","7,5","7,5,Q",0,0,4
"9,K","9,K","10,2","10,2",1,0,4
"6,2","6,2","8,10","8,10,10",1,0,4
"4,Q","4,Q","5,5","5,5,7,J",1,0,4
"Q,9","Q,9","5,10","5,10",1,0,4
"5,4","5,4","2,J","2,J,K",0,0,4
"10,J","10,J","A,2","A,2,10,9",0,0,4
"A,A","A,A,7","J,5","J,5",0,0,4
"J,10","J,10","3,10","3,10",1,0,4
"J,2","J,2,9","4,7","4,7,10",1,0,4
"A,K","A,K","3,3","3,3,J,7",1,0,4
"J,2","J,2,3,Q","6,5","6,5,6",0,0,4
"J,3","J,3,J","4,7","4,7,9",1,0,4
"4,7","4,7,3,10","3,7","3,7,10",1,0,4
"Q,J","Q,J","6,Q","6,Q",0,0,4
"6,A","6,A,J","4,8","4,8",0,0,4
"4,3","4,3","8,4","8,4,2,8",1,0,4
"2,9","2,9,9","6,5","6,5,6",0,0,4
"A,A","A,A","7,2","7,2,9,4",1,0,4
"7,10","7,10","6,3","6,3,J",1,0,4
"8,7","8,7,5","2,K","2,K",1,0,4
"3,K","3,K","A,K","A,K",0,0,4
"9,4","9,4,10","9,9","9,9",1,0,4
"8,J","8,J","3,2","3,2,9",1,0,4
"A,8","A,8","Q,9","Q,9",0,1,4
"A,8","A,8","Q,10","Q,10",0,1,4
"3,A","3,A,A,J,8","2,10","2,10",0,0,4
"K,4","K,4,3","A,5","A,5",1,0,4
"A,J","A,J","Q,10","Q,10",1,0,4
"Q,K","Q,K","7,10","7,10",1,0,4
"4,8","4,8","4,2","4,2,6,5,K",1,0,4
"6,5","6,5,8","Q,9","Q,9",0,0,4
"4,J","4,J,3","7,Q","7,Q,2",0,0,4
"A,A","A,A","6,6","6,6,4,7",0,0,4
"5,J","5,J,10","K,2","K,2,8",0,0,4
"8,J","8,J","10,A","10,A",0,0,4
"J,7","J,7","Q,9","Q,9",0,0,4
"9,5","9,5,10","8,10","8,10",0,0,4
"A,4","A,4,A,10,J","J,9","J,9",0,0,4
"J,3","J,3,9","4,2","4,2,8",1,0,4
"5,7","5,7,6","3,J","3,J",0,0,4
"6,6","6,6,3,8","K,9","K,9",1,0,4
"K,4","K,4,K","6,3","6,3,K",0,0,4
"9,A","9,A","10,4","10,4",0,0,4
"8,A","8,A","5,5","5,5,J",0,0,4
"10,A","10,A","10,9","10,9",0,0,4
"7,J","7,J","2,10","2,10",1,0,4
"7,6","7,6,9","5,8","5,8,4",0,0,4
"7,5","7,5,9","4,4","4,4,3,3,2",0,0,4
"8,Q","8,Q","A,6","A,6,9",0,0,4
"Q,A","Q,A","J,4","J,4",1,0,4
"3,6","3,6,Q","8,7","8,7",0,0,4
"8,3","8,3,8","J,J","J,J",0,0,4
"2,7","2,7,9","4,J","4,J,4,2",1,0,4
"K,5","K,5,6","4,A","4,A",1,0,4
"J,10","J,10","7,6","7,6",1,0,4
"4,6","4,6,Q","Q,9","Q,9",1,0,4
"5,Q","5,Q,4","2,J","2,J,4,A,4",1,0,4
"Q,3","Q,3,10","A,6","A,6",1,0,4
"9,6","9,6","3,2","3,2,5,4,8",0,0,4
"10,J","10,J","A,5","A,5",1,0,4
"K,8","K,8","10,A","10,A",1,0,4
"3,A","3,A,5","K,9","K,9",1,0,4
"5,4","5,4","5,3","5,3,K,7",0,0,4
"7,3","7,3","A,K","A,K",0,0,4
"4,Q","4,Q","7,Q","7,Q,9",1,0,4
"5,A","5,A","10,4","10,4,3,8",1,0,4
"6,5","6,5","3,Q","3,Q,K",1,0,4
"9,8","9,8","7,Q","7,Q",0,0,4
"9,9","9,9","Q,4","Q,4",0,0,4
"8,A","8,A","10,5","10,5,10",0,0,4
"A,J","A,J","3,9","3,9,8",1,0,4
"Q,10","Q,10","4,10","4,10,3",0,0,4
"3,10","3,10,10","J,10","J,10",1,0,4
"8,5","8,5,2,2","7,5","7,5",1,0,4
"7,8","7,8,10","7,3","7,3,4,6",0,0,4
"A,5","A,5,4","J,J","J,J",1,0,4
"9,Q","9,Q","5,9","5,9",1,0,4
"J,J","J,J","J,J","J,J",0,0,4
"8,Q","8,Q","A,9","A,9",0,0,4
"9,Q","9,Q","9,6","9,6",1,0,4
"8,Q","8,Q","J,4","J,4",1,0,4
"4,8","4,8","4,6","4,6,7,10",0,0,4
"K,3","K,3,K","6,Q","6,Q",0,0,4
"K,10","K,10","6,10","6,10",1,0,4
"K,8","K,8","J,2","J,2",0,0,4
"6,7","6,7,4","9,2","9,2,10",0,0,4
"K,K","K,K","10,7","10,7,7",0,0,4
"A,K","A,K","7,4","7,4,6,4",0,0,4
"9,4","9,4","J,8","J,8,7",0,0,4
"7,2","7,2,3,4,10","3,10","3,10",0,0,4
"A,5","A,5,5","10,9","10,9",0,0,4
"J,A","J,A","5,2","5,2,7",1,0,4
"9,2","9,2,2,10","K,4","K,4",1,0,4
"5,6","5,6,5,5","Q,7","Q,7",0,0,4
"8,K","8,K","2,6","2,6,K,K",0,0,4
"Q,4","Q,4","4,2","4,2,J,9",0,0,4
"8,K","8,K","5,K","5,K",0,0,4
"10,Q","10,Q","9,7","9,7",1,0,4
"8,K","8,K","3,8","3,8,9",1,0,4
"7,A","7,A","10,K","10,K",1,0,4
"K,A","K,A","8,2","8,2,A",0,0,4
"9,3","9,3,7","9,A","9,A",0,1,4
"9,3","9,3,7","9,2","9,2,3,7",0,1,4
"7,7","7,7","Q,8","Q,8,6",0,0,4
"4,2","4,2,6,4,10","K,J","K,J",1,0,4
"3,4","3,4,J","10,10","10,10",1,0,4
"2,K","2,K","7,2","7,2,8,6",1,0,4
"K,A","K,A","7,8","7,8,5",0,0,4
"7,5","7,5,J","J,K","J,K",0,0,4
"7,5","7,5,2,8","Q,5","Q,5",1,0,4
"6,5","6,5","6,10","6,10,Q",0,0,4
"Q,10","Q,10","7,4","7,4,8",0,0,4
"10,10","10,10","J,Q","J,Q",0,0,4
"10,8","10,8","10,Q","10,Q",1,0,4
"2,5","2,5,K","6,4","6,4,9",1,0,4
"4,2","4,2,7,9","10,10","10,10",1,0,4
"2,J","2,J,3,10","4,9","4,9,7",1,0,4
"Q,6","Q,6,4","2,Q","2,Q",0,0,4
"10,10","10,10","10,Q","10,Q",0,0,4
"6,10","6,10","K,3","K,3,Q",0,0,4
"10,A","10,A","7,9","7,9",0,0,4
"6,8","6,8,10","Q,K","Q,K",1,0,4
