,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
47095,"5,Q","5,Q,A,A","8,6","8,6",0,0,4,0,5,15,17,1,0,14,14,0,0,0
47096,"K,3","K,3,J","4,7","4,7,3",1,0,4,0,10,13,23,1,1,11,14,1,0,1
47097,"K,6","K,6,K","A,3","A,3",0,0,4,1,10,16,26,1,1,14,14,0,0,1
47098,"2,9","2,9,K","5,2","5,2,8,5",0,0,4,0,2,11,21,1,0,7,20,1,0,0
47099,"Q,9","Q,9","8,2","8,2,4",1,0,4,1,10,19,19,0,0,10,14,1,0,0
47100,"8,4","8,4,J","2,J","2,J",1,0,4,0,8,12,22,1,1,12,12,0,0,1
47101,"5,10","5,10,5","4,Q","4,Q",0,0,4,1,5,15,20,1,0,14,14,0,0,0
47102,"3,5","3,5,K","9,8","9,8",0,0,4,1,3,8,18,1,0,17,17,0,0,0
47103,"8,9","8,9","4,3","4,3,A,6",0,0,4,0,8,17,17,0,0,7,14,1,0,0
47104,"8,Q","8,Q","5,6","5,6,J",0,0,4,0,8,18,18,0,0,11,21,1,0,1
47105,"K,2","K,2","5,9","5,9,9",0,0,4,0,10,12,12,0,0,14,23,1,1,0
47106,"5,Q","5,Q,9","4,5","4,5,2,J",0,0,4,0,5,15,24,1,1,9,21,1,0,1
47107,"7,6","7,6,Q","9,6","9,6",1,0,4,1,7,13,23,1,1,15,15,0,0,1
47108,"5,2","5,2","4,A","4,A,8,Q",0,0,4,0,5,7,7,0,0,15,23,1,1,0
47109,"K,6","K,6,J","7,6","7,6",1,0,4,0,10,16,26,1,1,13,13,0,0,1
47110,"K,8","K,8","2,7","2,7,K",1,0,4,0,10,18,18,0,0,9,19,1,0,1
47111,"J,10","J,10","K,2","K,2,10",0,0,4,0,10,20,20,0,0,12,22,1,1,0
47112,"7,J","7,J","K,5","K,5",0,0,4,1,7,17,17,0,0,15,15,0,0,0
47113,"10,5","10,5,6","K,9","K,9",0,0,4,0,10,15,21,1,0,19,19,0,0,0
47114,"A,J","A,J","9,10","9,10",1,0,4,1,1,21,21,0,0,19,19,0,0,0
47115,"6,9","6,9,4","3,9","3,9,A,7",1,0,4,0,6,15,19,1,0,12,20,1,0,1
47116,"10,2","10,2","J,2","J,2,Q",0,0,4,0,10,12,12,0,0,12,22,1,1,0
47117,"3,5","3,5,7,3","J,6","J,6,2",0,0,4,0,3,8,18,1,0,16,18,1,0,0
47118,"7,5","7,5,A,9","5,3","5,3,2,Q",1,0,4,0,7,12,22,1,1,8,20,1,0,1
47119,"K,8","K,8","Q,6","Q,6",0,0,4,0,10,18,18,0,0,16,16,0,0,0
47120,"A,8","A,8","6,9","6,9",0,0,4,0,1,19,19,0,0,15,15,0,0,0
47121,"7,6","7,6,2,6","3,6","3,6,A",1,0,4,1,7,13,21,1,0,9,20,1,0,0
47122,"A,6","A,6,8,2","2,6","2,6,4,7",1,0,4,1,1,17,17,0,0,8,19,1,0,1
47123,"K,K","K,K","7,6","7,6",1,0,4,1,10,20,20,0,0,13,13,0,0,0
47124,"10,5","10,5,9","Q,8","Q,8",0,1,4,1,10,15,24,1,1,18,18,0,0,1
47125,"10,5","10,5,9","Q,J","Q,J",0,1,4,1,10,15,24,1,1,20,20,0,0,1
47126,"K,6","K,6,10","9,5","9,5",1,0,4,1,10,16,26,1,1,14,14,0,0,1
47127,"10,K","10,K","K,4","K,4",0,0,4,1,10,20,20,0,0,14,14,0,0,0
47128,"9,5","9,5,5","9,K","9,K",1,0,4,1,9,14,19,1,0,19,19,0,0,0
47129,"Q,K","Q,K","7,Q","7,Q",0,0,4,1,10,20,20,0,0,17,17,0,0,0
47130,"3,8","3,8,K","8,2","8,2,Q",1,0,4,1,3,11,21,1,0,10,20,1,0,0
47131,"K,10","K,10","K,10","K,10",0,0,4,0,10,20,20,0,0,20,20,0,0,0
47132,"K,K","K,K","10,3","10,3,7",0,0,4,0,10,20,20,0,0,13,20,1,0,0
47133,"5,K","5,K,J","4,6","4,6,A",1,0,4,1,5,15,25,1,1,10,21,1,0,1
47134,"9,4","9,4,8","2,A","2,A",1,0,4,0,9,13,21,1,0,13,13,0,0,0
47135,"A,6","A,6","K,6","K,6,7",1,0,4,1,1,17,17,0,0,16,23,1,1,0
47136,"6,7","6,7,3,8","5,8","5,8,6",1,0,4,1,6,13,24,1,1,13,19,1,0,1
47137,"A,5","A,5,9,7","8,3","8,3,5",0,0,4,0,1,16,22,1,1,11,16,1,0,1
47138,"9,A","9,A","K,10","K,10",1,0,4,1,9,20,20,0,0,20,20,0,0,0
47139,"K,8","K,8","3,J","3,J",0,0,4,0,10,18,18,0,0,13,13,0,0,0
47140,"Q,J","Q,J","7,6","7,6",0,0,4,1,10,20,20,0,0,13,13,0,0,0
47141,"9,8","9,8","A,A","A,A",1,0,4,1,9,17,17,0,0,12,12,0,0,0
47142,"Q,9","Q,9","J,4","J,4",1,0,4,1,10,19,19,0,0,14,14,0,0,0
47143,"A,7","A,7","10,A","10,A",1,0,4,1,1,18,18,0,0,21,21,0,0,1
47144,"8,4","8,4,9","J,J","J,J",0,0,4,0,8,12,21,1,0,20,20,0,0,0
47145,"5,9","5,9,K","K,K","K,K",0,0,4,0,5,14,24,1,1,20,20,0,0,1
47146,"10,8","10,8","A,2","A,2",0,0,4,0,10,18,18,0,0,13,13,0,0,0
47147,"K,K","K,K","5,6","5,6,9",0,0,4,0,10,20,20,0,0,11,20,1,0,0
47148,"8,3","8,3,4,8","2,8","2,8,6",1,0,4,0,8,11,23,1,1,10,16,1,0,1
47149,"2,A","2,A,8","4,4","4,4,3,Q",1,0,4,0,2,13,21,1,0,8,21,1,0,0
47150,"5,4","5,4,5,J","4,7","4,7,10",0,0,4,0,5,9,24,1,1,11,21,1,0,1
47151,"K,K","K,K","9,2","9,2,10",1,0,4,1,10,20,20,0,0,11,21,1,0,1
47152,"3,10","3,10","K,6","K,6,10",1,0,4,1,3,13,13,0,0,16,26,1,1,0
47153,"J,10","J,10","8,Q","8,Q",1,0,4,1,10,20,20,0,0,18,18,0,0,0
47154,"7,4","7,4,J","J,3","J,3",1,0,4,0,7,11,21,1,0,13,13,0,0,0
47155,"7,6","7,6,Q","7,A","7,A",0,0,4,0,7,13,23,1,1,18,18,0,0,1
47156,"6,2","6,2,8,7","5,2","5,2,3,3",0,0,4,1,6,8,23,1,1,7,13,1,0,1
47157,"J,5","J,5,5","7,6","7,6",1,0,4,1,10,15,20,1,0,13,13,0,0,0
47158,"8,A","8,A","9,10","9,10",0,0,4,1,8,19,19,0,0,19,19,0,0,0
47159,"2,K","2,K,A,K","2,3","2,3,5,6,2",0,0,4,0,2,12,23,1,1,5,18,1,0,1
47160,"K,4","K,4,5","9,J","9,J",1,0,4,0,10,14,19,1,0,19,19,0,0,0
47161,"2,2","2,2,Q,J","10,3","10,3,4",0,0,4,1,2,4,24,1,1,13,17,1,0,1
47162,"K,A","K,A","4,2","4,2",1,0,4,0,10,21,21,0,0,6,6,0,0,0
47163,"5,7","5,7,2,3","4,Q","4,Q",0,0,4,0,5,12,17,1,0,14,14,0,0,0
47164,"Q,5","Q,5,3","9,7","9,7",1,0,4,1,10,15,18,1,0,16,16,0,0,0
47165,"10,5","10,5,2","5,4","5,4,3",1,0,4,1,10,15,17,1,0,9,12,1,0,0
47166,"Q,7","Q,7","J,Q","J,Q",1,0,4,1,10,17,17,0,0,20,20,0,0,1
47167,"9,7","9,7,3","3,8","3,8,5",1,0,4,1,9,16,19,1,0,11,16,1,0,0
47168,"9,5","9,5,9","J,6","J,6,2",0,0,4,1,9,14,23,1,1,16,18,1,0,1
47169,"6,7","6,7,7","4,7","4,7,2",0,0,4,0,6,13,20,1,0,11,13,1,0,0
47170,"7,J","7,J","7,K","7,K",1,0,4,0,7,17,17,0,0,17,17,0,0,0
47171,"5,5","5,5,7","3,9","3,9,6",0,0,4,1,5,10,17,1,0,12,18,1,0,1
47172,"J,8","J,8","8,A","8,A",1,0,4,0,10,18,18,0,0,19,19,0,0,1
47173,"7,6","7,6,2,9","6,7","6,7",1,0,4,0,7,13,24,1,1,13,13,0,0,1
47174,"K,A","K,A","6,5","6,5",1,0,4,0,10,21,21,0,0,11,11,0,0,0
47175,"9,5","9,5,10","6,10","6,10",1,0,4,1,9,14,24,1,1,16,16,0,0,1
47176,"9,9","9,9","K,2","K,2",1,0,4,1,9,18,18,0,0,12,12,0,0,0
47177,"3,6","3,6,4,2,7","A,2","A,2",0,0,4,0,3,9,22,1,1,13,13,0,0,1
47178,"K,3","K,3,A,6","10,7","10,7",1,0,4,1,10,13,20,1,0,17,17,0,0,0
47179,"A,J","A,J","K,K","K,K",0,0,4,1,1,21,21,0,0,20,20,0,0,0
47180,"10,4","10,4","9,7","9,7,J",0,0,4,0,10,14,14,0,0,16,26,1,1,0
47181,"7,Q","7,Q","6,10","6,10",1,0,4,0,7,17,17,0,0,16,16,0,0,0
47182,"6,A","6,A","A,K","A,K",0,0,4,0,6,17,17,0,0,21,21,0,0,1
47183,"Q,4","Q,4,8","6,3","6,3,Q",0,0,4,1,10,14,22,1,1,9,19,1,0,1
47184,"4,8","4,8,7","10,K","10,K",1,0,4,1,4,12,19,1,0,20,20,0,0,1
47185,"10,2","10,2,K","4,7","4,7,8",0,0,4,0,10,12,22,1,1,11,19,1,0,1
47186,"J,6","J,6,A","A,9","A,9",0,0,4,1,10,16,17,1,0,20,20,0,0,1
47187,"6,8","6,8","7,A","7,A,K,8",1,0,4,1,6,14,14,0,0,18,26,1,1,0
47188,"4,A","4,A","8,10","8,10,9",0,0,4,0,4,15,15,0,0,18,27,1,1,0
47189,"A,J","A,J","9,3","9,3",1,0,4,0,1,21,21,0,0,12,12,0,0,0
47190,"9,J","9,J","4,3","4,3,3,K",1,0,4,1,9,19,19,0,0,7,20,1,0,1
47191,"Q,Q","Q,Q","10,7","10,7",1,0,4,1,10,20,20,0,0,17,17,0,0,0
47192,"2,4","2,4,10,7","5,2","5,2,9",0,0,4,1,2,6,23,1,1,7,16,1,0,1
47193,"A,J","A,J","4,6","4,6",0,0,4,0,1,21,21,0,0,10,10,0,0,0
47194,"10,Q","10,Q","7,4","7,4,5",0,0,4,1,10,20,20,0,0,11,16,1,0,0
47195,"4,K","4,K,2,K","J,Q","J,Q",0,0,4,0,4,14,26,1,1,20,20,0,0,1
47196,"6,6","6,6","5,10","5,10,K",1,0,4,0,6,12,12,0,0,15,25,1,1,0
47197,"2,5","2,5,J","5,3","5,3,J",0,0,4,0,2,7,17,1,0,8,18,1,0,1
47198,"4,4","4,4","8,7","8,7,8",0,0,4,1,4,8,8,0,0,15,23,1,1,0
47199,"K,10","K,10","K,Q","K,Q",1,0,4,1,10,20,20,0,0,20,20,0,0,0
47200,"9,2","9,2,8","Q,J","Q,J",0,0,4,0,9,11,19,1,0,20,20,0,0,1
47201,"Q,4","Q,4,7","5,8","5,8",1,0,4,0,10,14,21,1,0,13,13,0,0,0
47202,"K,7","K,7","A,10","A,10",1,0,4,0,10,17,17,0,0,21,21,0,0,1
47203,"Q,K","Q,K","6,A","6,A",0,0,4,0,10,20,20,0,0,17,17,0,0,0
47204,"4,2","4,2,J,K","8,10","8,10",0,0,4,1,4,6,26,1,1,18,18,0,0,1
47205,"5,4","5,4,Q","5,Q","5,Q",0,0,4,1,5,9,19,1,0,15,15,0,0,0
47206,"2,6","2,6,5,K","8,A","8,A",1,0,4,0,2,8,23,1,1,19,19,0,0,1
47207,"5,J","5,J","7,K","7,K,A,8",1,0,4,1,5,15,15,0,0,17,26,1,1,0
47208,"Q,Q","Q,Q","6,8","6,8",1,0,4,0,10,20,20,0,0,14,14,0,0,0
47209,"8,10","8,10","7,3","7,3,K",0,0,4,0,8,18,18,0,0,10,20,1,0,1
47210,"Q,5","Q,5","A,J","A,J",1,0,4,1,10,15,15,0,0,21,21,0,0,1
47211,"10,8","10,8","4,3","4,3,J",0,0,4,0,10,18,18,0,0,7,17,1,0,0
47212,"4,5","4,5","5,6","5,6,7,5",0,0,4,1,4,9,9,0,0,11,23,1,1,0
47213,"Q,J","Q,J","3,2","3,2,6,Q",1,0,4,0,10,20,20,0,0,5,21,1,0,1
47214,"K,5","K,5","10,7","10,7,10",0,0,4,1,10,15,15,0,0,17,27,1,1,0
47215,"Q,10","Q,10","Q,8","Q,8",1,0,4,0,10,20,20,0,0,18,18,0,0,0
47216,"A,Q","A,Q","3,Q","3,Q",1,0,4,1,1,21,21,0,0,13,13,0,0,0
47217,"J,Q","J,Q","10,5","10,5",0,0,4,1,10,20,20,0,0,15,15,0,0,0
47218,"10,Q","10,Q","4,10","4,10",0,0,4,1,10,20,20,0,0,14,14,0,0,0
47219,"9,4","9,4,4","A,5","A,5",0,0,4,1,9,13,17,1,0,16,16,0,0,0
47220,"J,8","J,8","3,10","3,10",1,0,4,0,10,18,18,0,0,13,13,0,0,0
47221,"5,J","5,J","8,K","8,K,8",1,0,4,0,5,15,15,0,0,18,26,1,1,0
47222,"K,9","K,9","8,5","8,5",1,1,4,0,10,19,19,0,0,13,13,0,0,0
47223,"K,9","K,9","8,J","8,J",1,1,4,0,10,19,19,0,0,18,18,0,0,0
47224,"3,J","3,J,2,3","5,A","5,A,3",1,0,4,0,3,13,18,1,0,16,19,1,0,1
47225,"A,5","A,5","4,2","4,2,K,J",1,0,4,0,1,16,16,0,0,6,26,1,1,0
47226,"5,Q","5,Q,K","6,8","6,8",0,0,4,0,5,15,25,1,1,14,14,0,0,1
47227,"4,K","4,K","6,9","6,9,7",0,0,4,1,4,14,14,0,0,15,22,1,1,0
47228,"3,10","3,10,2,A,3","8,3","8,3,A,4,3",1,0,4,1,3,13,19,1,0,11,19,1,0,0
47229,"Q,A","Q,A","3,3","3,3",1,0,4,0,10,21,21,0,0,6,6,0,0,0
47230,"3,8","3,8,J","9,10","9,10",0,0,4,0,3,11,21,1,0,19,19,0,0,0
47231,"10,6","10,6,2","Q,6","Q,6",1,0,4,1,10,16,18,1,0,16,16,0,0,0
47232,"10,2","10,2","K,A","K,A",0,0,4,0,10,12,12,0,0,21,21,0,0,1
47233,"2,J","2,J,8","7,A","7,A,5,6",1,0,4,1,2,12,20,1,0,18,19,1,0,0
47234,"9,8","9,8","A,9","A,9",0,1,4,1,9,17,17,0,0,20,20,0,0,1
47235,"9,8","9,8","A,4","A,4,8",0,1,4,1,9,17,17,0,0,15,13,0,0,0
47236,"K,2","K,2,8","2,A","2,A,4",0,0,4,0,10,12,20,1,0,13,17,1,0,0
47237,"3,2","3,2,4,8","K,J","K,J",1,0,4,0,3,5,17,1,0,20,20,0,0,1
47238,"2,3","2,3","3,Q","3,Q,10",1,0,4,1,2,5,5,0,0,13,23,1,1,0
47239,"J,2","J,2","Q,A","Q,A",0,0,4,0,10,12,12,0,0,21,21,0,0,1
47240,"J,9","J,9","4,A","4,A",1,0,4,1,10,19,19,0,0,15,15,0,0,0
47241,"8,4","8,4,K","6,Q","6,Q",0,0,4,0,8,12,22,1,1,16,16,0,0,1
47242,"K,4","K,4,Q","10,10","10,10",0,0,4,0,10,14,24,1,1,20,20,0,0,1
47243,"3,J","3,J,8","7,6","7,6",0,0,4,0,3,13,21,1,0,13,13,0,0,0
47244,"7,8","7,8,7","8,Q","8,Q",0,0,4,0,7,15,22,1,1,18,18,0,0,1
47245,"7,7","7,7,J","8,10","8,10",1,0,4,1,7,14,24,1,1,18,18,0,0,1
47246,"9,6","9,6,10","8,9","8,9",1,0,4,0,9,15,25,1,1,17,17,0,0,1
47247,"10,10","10,10","6,9","6,9",0,0,4,1,10,20,20,0,0,15,15,0,0,0
47248,"7,8","7,8,J","A,8","A,8",1,0,4,1,7,15,25,1,1,19,19,0,0,1
47249,"6,K","6,K","9,4","9,4,J",0,0,4,1,6,16,16,0,0,13,23,1,1,0
47250,"4,8","4,8","8,10","8,10,10",1,0,4,0,4,12,12,0,0,18,28,1,1,0
47251,"K,10","K,10","6,2","6,2,8,Q",0,0,4,1,10,20,20,0,0,8,26,1,1,0
47252,"3,9","3,9,5","J,7","J,7,2",0,0,4,1,3,12,17,1,0,17,19,1,0,1
47253,"K,A","K,A","A,6","A,6",0,0,4,0,10,21,21,0,0,17,17,0,0,0
47254,"K,4","K,4,K","8,7","8,7",1,0,4,0,10,14,24,1,1,15,15,0,0,1
47255,"8,3","8,3,5,K","J,J","J,J",1,0,4,0,8,11,26,1,1,20,20,0,0,1
47256,"4,Q","4,Q,5","10,10","10,10",0,0,4,0,4,14,19,1,0,20,20,0,0,1
47257,"8,K","8,K","3,7","3,7,4,Q",0,0,4,0,8,18,18,0,0,10,24,1,1,0
47258,"9,A","9,A","5,10","5,10",1,0,4,1,9,20,20,0,0,15,15,0,0,0
47259,"8,Q","8,Q","K,J","K,J",1,0,4,0,8,18,18,0,0,20,20,0,0,1
47260,"5,8","5,8,7","2,8","2,8,6",0,1,4,0,5,13,20,1,0,10,16,1,0,0
47261,"5,8","5,8","2,3","2,3,4,7,7",0,1,4,0,5,13,13,0,0,5,23,1,1,0
47262,"Q,J","Q,J","4,Q","4,Q",1,0,4,0,10,20,20,0,0,14,14,0,0,0
47263,"J,2","J,2,7","Q,Q","Q,Q",0,0,4,1,10,12,19,1,0,20,20,0,0,1
47264,"4,10","4,10,A,10","K,9","K,9",1,0,4,0,4,14,25,1,1,19,19,0,0,1
47265,"5,10","5,10,7","2,Q","2,Q,8",1,0,4,1,5,15,22,1,1,12,20,1,0,1
47266,"A,10","A,10","J,9","J,9",0,0,4,1,1,21,21,0,0,19,19,0,0,0
47267,"Q,J","Q,J","K,9","K,9",1,0,4,1,10,20,20,0,0,19,19,0,0,0
47268,"6,6","6,6,J","2,4","2,4,K,5",0,0,4,0,6,12,22,1,1,6,21,1,0,1
47269,"K,10","K,10","9,4","9,4,5",0,0,4,1,10,20,20,0,0,13,18,1,0,0
47270,"A,K","A,K","A,5","A,5",1,0,4,0,1,21,21,0,0,16,16,0,0,0
47271,"10,9","10,9","9,10","9,10",0,0,4,1,10,19,19,0,0,19,19,0,0,0
47272,"2,A","2,A,6","7,Q","7,Q",0,0,4,0,2,13,19,1,0,17,17,0,0,0
47273,"3,Q","3,Q,3,9","3,4","3,4,K,4",0,0,4,0,3,13,25,1,1,7,21,1,0,1
47274,"8,7","8,7","K,5","K,5,7",0,0,4,1,8,15,15,0,0,15,22,1,1,0
47275,"2,9","2,9","6,A","6,A,8,7",0,0,4,0,2,11,11,0,0,17,22,1,1,0
47276,"10,K","10,K","J,9","J,9",1,0,4,0,10,20,20,0,0,19,19,0,0,0
47277,"J,2","J,2,K","5,10","5,10",0,0,4,1,10,12,22,1,1,15,15,0,0,1
47278,"6,4","6,4,6,Q","10,5","10,5",0,0,4,1,6,10,26,1,1,15,15,0,0,1
47279,"4,9","4,9,3,4","5,A","5,A,9,5",1,0,4,0,4,13,20,1,0,16,20,1,0,0
47280,"A,K","A,K","Q,5","Q,5",0,0,4,1,1,21,21,0,0,15,15,0,0,0
47281,"4,9","4,9","3,2","3,2,2,K,7",1,0,4,1,4,13,13,0,0,5,24,1,1,0
47282,"2,2","2,2","5,K","5,K,10",1,0,4,1,2,4,4,0,0,15,25,1,1,0
47283,"8,K","8,K","2,2","2,2,J",1,0,4,1,8,18,18,0,0,4,14,1,0,0
47284,"J,Q","J,Q","J,6","J,6",1,0,4,0,10,20,20,0,0,16,16,0,0,0
47285,"4,7","4,7,6","9,Q","9,Q",1,0,4,1,4,11,17,1,0,19,19,0,0,1
47286,"8,8","8,8,2","Q,8","Q,8",0,0,4,1,8,16,18,1,0,18,18,0,0,0
47287,"7,7","7,7","9,4","9,4,10",0,0,4,1,7,14,14,0,0,13,23,1,1,0
47288,"10,3","10,3,Q","5,6","5,6,7",0,0,4,0,10,13,23,1,1,11,18,1,0,1
47289,"3,9","3,9,2,K","2,7","2,7,10",1,0,4,1,3,12,24,1,1,9,19,1,0,1
47290,"9,J","9,J","7,J","7,J",1,0,4,1,9,19,19,0,0,17,17,0,0,0
47291,"8,A","8,A","A,K","A,K",1,0,4,1,8,19,19,0,0,21,21,0,0,1
47292,"J,3","J,3,9","2,Q","2,Q",1,0,4,0,10,13,22,1,1,12,12,0,0,1
47293,"10,4","10,4,7","9,K","9,K",0,0,4,0,10,14,21,1,0,19,19,0,0,0
47294,"6,5","6,5","6,4","6,4,7,8",0,0,4,1,6,11,11,0,0,10,25,1,1,0
47295,"2,9","2,9,2,J","6,2","6,2,8,4",1,0,4,1,2,11,23,1,1,8,20,1,0,1
47296,"2,3","2,3,6,3,A,Q","Q,Q","Q,Q",1,0,4,0,2,5,25,1,1,20,20,0,0,1
47297,"2,4","2,4,A,3","8,5","8,5",0,1,4,1,2,6,20,1,0,13,13,0,0,0
47298,"2,4","2,4,A,3","8,8","8,8",0,1,4,1,2,6,20,1,0,16,16,0,0,0
47299,"4,9","4,9,K","6,9","6,9,2,4",1,0,4,1,4,13,23,1,1,15,21,1,0,1
47300,"9,A","9,A","7,Q","7,Q",1,0,4,0,9,20,20,0,0,17,17,0,0,0
47301,"A,Q","A,Q","4,2","4,2",0,0,4,1,1,21,21,0,0,6,6,0,0,0
47302,"4,2","4,2,K,2","8,7","8,7,2,2",1,0,4,1,4,6,18,1,0,15,19,1,0,1
47303,"4,9","4,9,3,3","5,6","5,6,K",0,0,4,0,4,13,19,1,0,11,21,1,0,1
47304,"7,Q","7,Q","5,5","5,5,7",1,0,4,0,7,17,17,0,0,10,17,1,0,0
47305,"8,J","8,J","3,K","3,K",0,1,4,0,8,18,18,0,0,13,13,0,0,0
47306,"8,J","8,J","3,A","3,A,9",0,1,4,0,8,18,18,0,0,14,13,0,0,0
47307,"3,A","3,A,8,7","7,4","7,4,10",0,0,4,0,3,14,19,1,0,11,21,1,0,1
47308,"4,Q","4,Q,6","A,4","A,4,6",0,0,4,0,4,14,20,1,0,15,21,1,0,1
47309,"J,3","J,3,7","K,K","K,K",0,0,4,0,10,13,20,1,0,20,20,0,0,0
47310,"3,K","3,K","Q,5","Q,5,K",0,0,4,0,3,13,13,0,0,15,25,1,1,0
47311,"8,3","8,3,3,8","10,7","10,7",0,0,4,0,8,11,22,1,1,17,17,0,0,1
47312,"9,5","9,5,5","Q,9","Q,9",1,0,4,0,9,14,19,1,0,19,19,0,0,0
47313,"J,J","J,J","6,A","6,A",1,0,4,0,10,20,20,0,0,17,17,0,0,0
47314,"7,4","7,4","3,J","3,J,K",0,0,4,0,7,11,11,0,0,13,23,1,1,0
47315,"9,Q","9,Q","K,9","K,9",1,0,4,1,9,19,19,0,0,19,19,0,0,0
47316,"6,J","6,J,3","5,K","5,K",0,0,4,1,6,16,19,1,0,15,15,0,0,0
47317,"8,9","8,9","A,8","A,8",0,0,4,1,8,17,17,0,0,19,19,0,0,1
47318,"3,6","3,6,6,A,10","4,9","4,9",0,0,4,0,3,9,26,1,1,13,13,0,0,1
47319,"2,K","2,K,2,J","K,5","K,5",0,0,4,1,2,12,24,1,1,15,15,0,0,1
47320,"7,K","7,K","J,9","J,9",0,0,4,1,7,17,17,0,0,19,19,0,0,1
47321,"7,J","7,J","A,7","A,7,5",0,0,4,1,7,17,17,0,0,18,13,0,0,0
47322,"8,A","8,A","3,A","3,A,K",0,0,4,1,8,19,19,0,0,14,14,0,0,0
47323,"7,K","7,K","Q,9","Q,9",0,0,4,1,7,17,17,0,0,19,19,0,0,1
47324,"5,J","5,J,Q","9,J","9,J",0,0,4,0,5,15,25,1,1,19,19,0,0,1
47325,"9,2","9,2,A,6","7,5","7,5",1,0,4,1,9,11,18,1,0,12,12,0,0,0
47326,"A,8","A,8","7,6","7,6,Q",0,0,4,1,1,19,19,0,0,13,23,1,1,0
47327,"6,Q","6,Q","3,9","3,9,A,Q",0,0,4,0,6,16,16,0,0,12,23,1,1,0
47328,"2,10","2,10","2,Q","2,Q,K",1,0,4,0,2,12,12,0,0,12,22,1,1,0
47329,"6,J","6,J,8","2,J","2,J",0,0,4,0,6,16,24,1,1,12,12,0,0,1
47330,"7,Q","7,Q","10,2","10,2",1,0,4,1,7,17,17,0,0,12,12,0,0,0
47331,"7,10","7,10","K,3","K,3,8",0,0,4,1,7,17,17,0,0,13,21,1,0,1
47332,"10,A","10,A","7,J","7,J",0,0,4,0,10,21,21,0,0,17,17,0,0,0
47333,"7,7","7,7","10,4","10,4,Q",0,0,4,0,7,14,14,0,0,14,24,1,1,0
47334,"J,J","J,J","4,4","4,4,4",1,0,4,1,10,20,20,0,0,8,12,1,0,0
47335,"4,K","4,K","5,Q","5,Q,Q",0,0,4,0,4,14,14,0,0,15,25,1,1,0
47336,"9,7","9,7","J,5","J,5,Q",0,0,4,0,9,16,16,0,0,15,25,1,1,0
47337,"Q,5","Q,5,3","7,3","7,3,K",1,0,4,1,10,15,18,1,0,10,20,1,0,1
47338,"K,K","K,K","5,2","5,2,5",1,0,4,1,10,20,20,0,0,7,12,1,0,0
47339,"4,9","4,9","2,9","2,9,3,9",1,0,4,1,4,13,13,0,0,11,23,1,1,0
47340,"8,9","8,9","J,3","J,3",1,0,4,1,8,17,17,0,0,13,13,0,0,0
47341,"A,6","A,6,K","7,7","7,7",0,1,4,0,1,17,17,0,0,14,14,0,0,0
47342,"A,6","A,6,K","7,2","7,2,8",0,1,4,0,1,17,17,0,0,9,17,1,0,0
47343,"J,2","J,2,5","5,10","5,10",0,0,4,1,10,12,17,1,0,15,15,0,0,0
47344,"6,4","6,4,9","3,K","3,K,5",0,0,4,0,6,10,19,1,0,13,18,1,0,0
47345,"4,Q","4,Q","10,5","10,5,7",1,0,4,0,4,14,14,0,0,15,22,1,1,0
47346,"4,J","4,J,7","4,7","4,7,9",1,0,4,1,4,14,21,1,0,11,20,1,0,0
47347,"10,6","10,6,A","10,7","10,7",1,0,4,0,10,16,17,1,0,17,17,0,0,0
47348,"6,2","6,2,8,J","8,9","8,9,2",0,0,4,0,6,8,26,1,1,17,19,1,0,1
47349,"Q,J","Q,J","4,Q","4,Q",1,0,4,1,10,20,20,0,0,14,14,0,0,0
47350,"5,6","5,6,3,J","4,5","4,5,8",0,0,4,1,5,11,24,1,1,9,17,1,0,1
47351,"7,J","7,J","J,Q","J,Q",0,0,4,0,7,17,17,0,0,20,20,0,0,1
47352,"J,7","J,7","J,7","J,7",1,0,4,1,10,17,17,0,0,17,17,0,0,0
47353,"7,4","7,4","J,5","J,5,Q",0,0,4,1,7,11,11,0,0,15,25,1,1,0
47354,"A,3","A,3,10,4","2,J","2,J,8",0,0,4,1,1,14,18,1,0,12,20,1,0,1
47355,"5,8","5,8,4","3,6","3,6,K",1,0,4,0,5,13,17,1,0,9,19,1,0,1
47356,"10,A","10,A","K,K","K,K",1,0,4,1,10,21,21,0,0,20,20,0,0,0
47357,"6,A","6,A","10,Q","10,Q",1,0,4,0,6,17,17,0,0,20,20,0,0,1
47358,"K,5","K,5,8","7,K","7,K",0,0,4,1,10,15,23,1,1,17,17,0,0,1
47359,"2,10","2,10,4,10","4,3","4,3,4,A,5",0,0,4,1,2,12,26,1,1,7,17,1,0,1
47360,"J,J","J,J","2,10","2,10",1,0,4,1,10,20,20,0,0,12,12,0,0,0
47361,"J,5","J,5,J","K,10","K,10",0,0,4,0,10,15,25,1,1,20,20,0,0,1
47362,"7,2","7,2,4,Q","J,9","J,9",1,0,4,0,7,9,23,1,1,19,19,0,0,1
47363,"2,9","2,9,8","3,J","3,J,7",1,0,4,0,2,11,19,1,0,13,20,1,0,1
47364,"8,3","8,3","A,K","A,K",1,0,4,1,8,11,11,0,0,21,21,0,0,1
47365,"10,J","10,J","10,2","10,2",1,0,4,1,10,20,20,0,0,12,12,0,0,0
47366,"8,8","8,8,8","8,4","8,4",1,1,4,1,8,16,24,1,1,12,12,0,0,1
