,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
8777,"4,8","4,8,6","9,2","9,2,10",0,0,4,1,4,12,18,1,0,11,21,1,0,1
8778,"K,2","K,2,5","3,8","3,8,10",1,0,4,1,10,12,17,1,0,11,21,1,0,1
8779,"K,8","K,8","A,Q","A,Q",0,0,4,1,10,18,18,0,0,21,21,0,0,1
8780,"J,8","J,8","K,2","K,2",1,0,4,1,10,18,18,0,0,12,12,0,0,0
8781,"7,5","7,5,6","3,3","3,3,8",1,0,4,1,7,12,18,1,0,6,14,1,0,0
8782,"5,9","5,9,2,K","Q,10","Q,10",0,0,4,0,5,14,26,1,1,20,20,0,0,1
8783,"4,Q","4,Q","A,10","A,10",1,0,4,0,4,14,14,0,0,21,21,0,0,1
8784,"5,3","5,3","3,5","3,5,7,2,9",0,0,4,0,5,8,8,0,0,8,26,1,1,0
8785,"3,3","3,3","Q,5","Q,5,10",1,0,4,0,3,6,6,0,0,15,25,1,1,0
8786,"4,5","4,5,5,A,10","4,2","4,2,7",0,0,4,1,4,9,25,1,1,6,13,1,0,1
8787,"J,2","J,2","4,3","4,3,8,9",0,0,4,1,10,12,12,0,0,7,24,1,1,0
8788,"4,J","4,J","7,A","7,A,9,9",1,0,4,0,4,14,14,0,0,18,26,1,1,0
8789,"5,7","5,7","A,6","A,6,A,5,5,7",1,0,4,0,5,12,12,0,0,17,25,1,1,0
8790,"Q,J","Q,J","10,3","10,3",1,0,4,1,10,20,20,0,0,13,13,0,0,0
8791,"10,Q","10,Q","5,5","5,5,10",1,0,4,0,10,20,20,0,0,10,20,1,0,0
8792,"A,5","A,5","5,J","5,J,9",1,0,4,1,1,16,16,0,0,15,24,1,1,0
8793,"2,6","2,6","5,3","5,3,8,10",1,0,4,1,2,8,8,0,0,8,26,1,1,0
8794,"8,A","8,A","J,J","J,J",0,0,4,1,8,19,19,0,0,20,20,0,0,1
8795,"5,6","5,6","3,Q","3,Q,9",1,0,4,1,5,11,11,0,0,13,22,1,1,0
8796,"Q,K","Q,K","Q,6","Q,6",1,0,4,1,10,20,20,0,0,16,16,0,0,0
8797,"5,K","5,K","6,5","6,5,A,4,A,7",1,0,4,0,5,15,15,0,0,11,24,1,1,0
8798,"A,3","A,3,2,2","6,10","6,10,3",1,0,4,1,1,14,18,1,0,16,19,1,0,1
8799,"4,K","4,K,2,J","10,Q","10,Q",1,0,4,1,4,14,26,1,1,20,20,0,0,1
8800,"3,4","3,4","8,4","8,4,5,K",1,0,4,1,3,7,7,0,0,12,27,1,1,0
8801,"3,9","3,9,2,2,5","9,A","9,A",1,0,4,1,3,12,21,1,0,20,20,0,0,0
8802,"Q,10","Q,10","J,9","J,9",0,0,4,1,10,20,20,0,0,19,19,0,0,0
8803,"2,7","2,7,7,6","7,3","7,3,3",0,0,4,0,2,9,22,1,1,10,13,1,0,1
8804,"2,4","2,4,5,2,K","Q,Q","Q,Q",1,0,4,1,2,6,23,1,1,20,20,0,0,1
8805,"J,5","J,5,8","4,A","4,A",0,0,4,1,10,15,23,1,1,15,15,0,0,1
8806,"6,Q","6,Q","6,2","6,2,3,3,3,J",1,0,4,0,6,16,16,0,0,8,27,1,1,0
8807,"2,Q","2,Q","9,9","9,9,5",0,0,4,0,2,12,12,0,0,18,23,1,1,0
8808,"7,4","7,4,5,A","3,8","3,8,A",1,0,4,0,7,11,17,1,0,11,12,1,0,0
8809,"6,7","6,7,6","A,A","A,A",0,0,4,1,6,13,19,1,0,12,12,0,0,0
8810,"4,Q","4,Q,4","Q,3","Q,3,8",0,0,4,0,4,14,18,1,0,13,21,1,0,1
8811,"10,A","10,A","7,8","7,8",0,0,4,0,10,21,21,0,0,15,15,0,0,0
8812,"3,5","3,5,K","3,A","3,A,10",0,0,4,1,3,8,18,1,0,14,14,0,0,0
8813,"7,2","7,2,4,Q","J,4","J,4",1,0,4,0,7,9,23,1,1,14,14,0,0,1
8814,"6,Q","6,Q","J,A","J,A",0,0,4,0,6,16,16,0,0,21,21,0,0,1
8815,"K,2","K,2,9","Q,J","Q,J",1,0,4,0,10,12,21,1,0,20,20,0,0,0
8816,"3,8","3,8,8","A,5","A,5,10,5",1,0,4,0,3,11,19,1,0,16,21,1,0,1
8817,"3,8","3,8,3,3","5,2","5,2,3,J",0,0,4,1,3,11,17,1,0,7,20,1,0,1
8818,"5,9","5,9","4,K","4,K,2,Q",0,0,4,1,5,14,14,0,0,14,26,1,1,0
8819,"3,K","3,K,Q","A,6","A,6",0,0,4,0,3,13,23,1,1,17,17,0,0,1
8820,"8,A","8,A","4,2","4,2,10,A",0,0,4,1,8,19,19,0,0,6,17,1,0,0
8821,"6,10","6,10,2","A,8","A,8",0,0,4,1,6,16,18,1,0,19,19,0,0,1
8822,"8,8","8,8,5","4,5","4,5,2,A",0,0,4,1,8,16,21,1,0,9,12,1,0,0
8823,"9,7","9,7,5","2,6","2,6,4",0,0,4,1,9,16,21,1,0,8,12,1,0,0
8824,"8,J","8,J","6,8","6,8",0,0,4,1,8,18,18,0,0,14,14,0,0,0
8825,"K,3","K,3,J","2,10","2,10,4",0,0,4,1,10,13,23,1,1,12,16,1,0,1
8826,"7,K","7,K","2,3","2,3,6,7",0,0,4,0,7,17,17,0,0,5,18,1,0,1
8827,"5,6","5,6,8","7,3","7,3,5",0,0,4,0,5,11,19,1,0,10,15,1,0,0
8828,"4,8","4,8,K","6,4","6,4,3,6",1,0,4,0,4,12,22,1,1,10,19,1,0,1
8829,"8,3","8,3,5,K","Q,J","Q,J",1,0,4,0,8,11,26,1,1,20,20,0,0,1
8830,"J,2","J,2","Q,6","Q,6,7",0,0,4,1,10,12,12,0,0,16,23,1,1,0
8831,"9,8","9,8","4,2","4,2,4,8",0,0,4,0,9,17,17,0,0,6,18,1,0,1
8832,"2,5","2,5","8,9","8,9,Q",1,0,4,0,2,7,7,0,0,17,27,1,1,0
8833,"3,8","3,8","2,7","2,7,9,6",1,0,4,0,3,11,11,0,0,9,24,1,1,0
8834,"6,9","6,9,8","5,9","5,9",0,0,4,0,6,15,23,1,1,14,14,0,0,1
8835,"5,10","5,10","7,K","7,K,Q",1,0,4,0,5,15,15,0,0,17,27,1,1,0
8836,"A,2","A,2,6","3,A","3,A",0,0,4,1,1,13,19,1,0,14,14,0,0,0
8837,"J,7","J,7","10,2","10,2",0,0,4,1,10,17,17,0,0,12,12,0,0,0
8838,"10,4","10,4,9","3,9","3,9",1,0,4,1,10,14,23,1,1,12,12,0,0,1
8839,"K,Q","K,Q","K,Q","K,Q",0,0,4,0,10,20,20,0,0,20,20,0,0,0
8840,"7,6","7,6,4","2,9","2,9,A",0,0,4,1,7,13,17,1,0,11,12,1,0,0
8841,"J,4","J,4,7","7,10","7,10",1,0,4,0,10,14,21,1,0,17,17,0,0,0
8842,"A,2","A,2","A,5","A,5,9,9",1,0,4,0,1,13,13,0,0,16,24,1,1,0
8843,"3,Q","3,Q,6","4,4","4,4,2,8,A",1,0,4,0,3,13,19,1,0,8,19,1,0,0
8844,"7,2","7,2,5,8","4,9","4,9",0,0,4,0,7,9,22,1,1,13,13,0,0,1
8845,"9,9","9,9","3,6","3,6,7",0,0,4,0,9,18,18,0,0,9,16,1,0,0
8846,"5,6","5,6,K","J,10","J,10",0,0,4,0,5,11,21,1,0,20,20,0,0,0
8847,"3,K","3,K","A,10","A,10",0,0,4,1,3,13,13,0,0,21,21,0,0,1
8848,"9,7","9,7,2","J,2","J,2",1,0,4,1,9,16,18,1,0,12,12,0,0,0
8849,"Q,10","Q,10","4,Q","4,Q",0,0,4,1,10,20,20,0,0,14,14,0,0,0
8850,"Q,7","Q,7","Q,J","Q,J",0,0,4,0,10,17,17,0,0,20,20,0,0,1
8851,"8,10","8,10","A,3","A,3,3,J,J",0,0,4,0,8,18,18,0,0,14,27,1,1,0
8852,"J,2","J,2,2,Q","K,9","K,9",0,0,4,1,10,12,24,1,1,19,19,0,0,1
8853,"2,Q","2,Q,K","4,10","4,10",0,0,4,0,2,12,22,1,1,14,14,0,0,1
8854,"5,10","5,10,J","J,6","J,6,3",0,0,4,0,5,15,25,1,1,16,19,1,0,1
8855,"9,5","9,5,9","5,4","5,4,3,3",0,0,4,1,9,14,23,1,1,9,15,1,0,1
8856,"2,J","2,J","3,2","3,2,3,J,10",1,0,4,0,2,12,12,0,0,5,28,1,1,0
8857,"A,6","A,6","5,4","5,4,5,9",0,0,4,1,1,17,17,0,0,9,23,1,1,0
8858,"K,10","K,10","8,J","8,J,K",0,0,4,1,10,20,20,0,0,18,28,1,1,0
8859,"Q,K","Q,K","A,8","A,8",0,0,4,1,10,20,20,0,0,19,19,0,0,0
8860,"Q,5","Q,5,9","10,5","10,5",1,0,4,1,10,15,24,1,1,15,15,0,0,1
8861,"4,K","4,K,9","9,2","9,2,9",1,0,4,0,4,14,23,1,1,11,20,1,0,1
8862,"3,8","3,8","7,4","7,4,4,9",1,0,4,0,3,11,11,0,0,11,24,1,1,0
